model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,sst5,conll_en,scala_en,squad,cnn_dailymail,mmlu,hellaswag,sst5_version,conll_en_version,scala_en_version,squad_version,cnn_dailymail_version,mmlu_version,hellaswag_version
<a href='https://huggingface.co/sentence-transformers/distiluse-base-multilingual-cased'>sentence-transformers/distiluse-base-multilingual-cased</a>,🔍,-@@100,134734080.0,119547.0,512.0,✓,✗,36.22 ± 1.39 / 45.80 ± 1.20@@36.222560760465605,71.90 ± 1.49 / 74.21 ± 1.10@@71.901413547309,0.47 ± 1.65 / 48.67 ± 1.71@@0.47032049325086056,8.50 ± 0.20 / 2.44 ± 0.17@@8.4993534925656,-@@-1,-@@-1,-@@-1,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,-@@0,-@@0,-@@0
<a href='https://huggingface.co/sentence-transformers/paraphrase-xlm-r-multilingual-v1'>sentence-transformers/paraphrase-xlm-r-multilingual-v1</a>,🔍,-@@100,278044162.0,250002.0,512.0,✓,✗,54.92 ± 1.28 / 52.65 ± 0.58@@54.919680079085765,84.05 ± 0.61 / 84.48 ± 0.51@@84.04532168934506,45.85 ± 1.41 / 71.78 ± 0.82@@45.85328604399736,10.53 ± 0.24 / 4.13 ± 0.19@@10.52743720988437,-@@-1,-@@-1,-@@-1,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,-@@0,-@@0,-@@0
<a href='https://huggingface.co/sentence-transformers/quora-distilbert-multilingual'>sentence-transformers/quora-distilbert-multilingual</a>,🔍,-@@100,134734080.0,119547.0,512.0,✓,✗,50.69 ± 1.19 / 50.90 ± 0.50@@50.690705284589896,81.71 ± 0.66 / 82.33 ± 0.53@@81.71104191850412,2.16 ± 1.58 / 49.99 ± 1.47@@2.1632802532698117,11.99 ± 0.62 / 4.19 ± 0.69@@11.994004177782319,-@@-1,-@@-1,-@@-1,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,-@@0,-@@0,-@@0
<a href='https://huggingface.co/sentence-transformers/stsb-xlm-r-multilingual'>sentence-transformers/stsb-xlm-r-multilingual</a>,🔍,-@@100,278044162.0,250002.0,512.0,✓,✗,57.35 ± 1.00 / 54.82 ± 0.65@@57.3531338175207,82.39 ± 0.62 / 83.07 ± 0.48@@82.38907822423904,47.29 ± 2.10 / 71.85 ± 1.30@@47.29240226479431,10.53 ± 0.29 / 4.29 ± 0.33@@10.532503233340085,-@@-1,-@@-1,-@@-1,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,-@@0,-@@0,-@@0
<a href='https://huggingface.co/setu4993/LaBSE'>setu4993/LaBSE</a>,🔍,-@@100,470927360.0,501153.0,512.0,✓,✗,52.93 ± 1.41 / 58.98 ± 1.52@@52.93344988275206,90.33 ± 0.62 / 90.31 ± 0.46@@90.33477092319578,50.70 ± 2.70 / 74.17 ± 1.51@@50.69757557651913,65.07 ± 0.61 / 53.77 ± 0.57@@65.07448727411916,-@@-1,-@@-1,-@@-1,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,-@@0,-@@0,-@@0
<a href='https://huggingface.co/Qwen/Qwen1.5-7B'>Qwen/Qwen1.5-7B (few-shot)</a>,📝,-@@100,7721324544.0,151936.0,32768.0,✓,✗,67.65 ± 1.30 / 69.48 ± 0.70@@67.65418996150167,64.44 ± 1.64 / 56.48 ± 2.73@@64.4392604617272,38.70 ± 1.95 / 67.62 ± 1.30@@38.69848728182982,82.30 ± 0.85 / 65.67 ± 1.82@@82.30345821796607,69.10 ± 0.08 / 22.97 ± 0.13@@69.0955763492093,47.10 ± 1.22 / 60.01 ± 0.94@@47.10441462958865,-@@-1,12.10.0@@121000,12.11.0@@121100,12.11.0@@121100,12.11.0@@121100,12.11.0@@121100,12.11.0@@121100,-@@0
<a href='https://huggingface.co/Qwen/Qwen1.5-7B-Chat'>Qwen/Qwen1.5-7B-Chat (few-shot)</a>,📝,-@@100,7721324544.0,151936.0,32768.0,✗,✗,61.62 ± 2.02 / 69.23 ± 0.94@@61.61968698924186,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,12.10.0@@121000,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/stabilityai/stablelm-zephyr-3b'>stabilityai/stablelm-zephyr-3b (few-shot)</a>,📝,-@@100,2795443200.0,50304.0,2048.0,✗,✗,26.34 ± 1.02 / 48.83 ± 0.64@@26.34366258539868,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,9.3.2@@90302,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/syvai/llama3-da-base'>syvai/llama3-da-base (few-shot)</a>,🧠,-@@100,8030261248.0,128256.0,8192.0,✓,✗,-@@-1,-@@-1,-@@-1,81.87 ± 2.45 / 69.53 ± 3.44@@81.86528677539278,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,14.3.0@@140300,-@@0,-@@0,-@@0
<a href='https://huggingface.co/sentence-transformers/distilbert-multilingual-nli-stsb-quora-ranking'>sentence-transformers/distilbert-multilingual-nli-stsb-quora-ranking</a>,🔍,-@@100,134734080.0,119547.0,512.0,✓,✗,50.69 ± 1.19 / 50.90 ± 0.50@@50.690705284589896,81.71 ± 0.66 / 82.33 ± 0.53@@81.71104191850412,2.16 ± 1.58 / 49.99 ± 1.47@@2.1632802532698117,11.93 ± 0.61 / 4.16 ± 0.71@@11.927950119618353,-@@-1,-@@-1,-@@-1,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,-@@0,-@@0,-@@0
<a href='https://huggingface.co/Twitter/twhin-bert-large'>Twitter/twhin-bert-large</a>,🔍,-@@100,561713298.0,250002.0,512.0,✓,✗,45.98 ± 2.97 / 49.81 ± 2.03@@45.976884801726214,89.50 ± 0.47 / 89.39 ± 0.41@@89.50374616583466,30.58 ± 13.07 / 61.93 ± 7.87@@30.581854654914327,59.47 ± 1.12 / 48.44 ± 1.37@@59.47191693011183,-@@-1,-@@-1,-@@-1,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,-@@0,-@@0,-@@0
<a href='https://huggingface.co/intfloat/multilingual-e5-large-instruct'>intfloat/multilingual-e5-large-instruct</a>,🔍,-@@100,559890432.0,250002.0,514.0,✓,✗,66.42 ± 1.01 / 64.56 ± 1.33@@66.41530792285077,91.43 ± 0.52 / 91.15 ± 0.44@@91.42925182496784,53.05 ± 12.06 / 75.49 ± 6.21@@53.04587285677833,74.85 ± 1.26 / 61.34 ± 1.79@@74.85019451292311,-@@-1,-@@-1,-@@-1,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,-@@0,-@@0,-@@0
<a href='https://ollama.com/library/gemma3:27b-it-fp16'>ollama_chat/gemma3:27b-it-fp16 (few-shot)</a>,📝,-@@100,,,,✓,✗,68.43 ± 1.31 / 72.56 ± 1.20@@68.42682381118131,81.84 ± 0.99 / 77.90 ± 0.77@@81.83731427886995,50.37 ± 1.89 / 74.05 ± 1.26@@50.365935757533045,81.50 ± 0.78 / 63.43 ± 1.49@@81.50267989779783,67.37 ± 0.06 / 20.31 ± 0.26@@67.37239590060199,69.41 ± 0.87 / 77.03 ± 0.64@@69.41158974187289,-@@-1,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,-@@0
<a href='https://huggingface.co/EuroBERT/EuroBERT-210m'>EuroBERT/EuroBERT-210m</a>,🔍,-@@100,212358915.0,128256.0,8192.0,✓,✗,35.75 ± 2.29 / 48.15 ± 1.78@@35.748732285778864,-@@-1,27.48 ± 7.23 / 63.24 ± 3.82@@27.481247924106672,-@@-1,-@@-1,-@@-1,-@@-1,15.2.0.dev0@@150200,-@@0,15.2.0.dev0@@150200,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/microsoft/xlm-align-base'>microsoft/xlm-align-base</a>,🔍,-@@100,278045955.0,250002.0,512.0,✓,✗,11.09 ± 10.39 / 33.19 ± 4.75@@11.092235055086338,88.62 ± 0.53 / 88.44 ± 0.46@@88.6192152159726,8.46 ± 2.34 / 51.98 ± 2.86@@8.463898881474188,62.02 ± 1.77 / 49.64 ± 1.94@@62.0187731479319,-@@-1,-@@-1,-@@-1,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,-@@0,-@@0,-@@0
<a href='https://huggingface.co/google-bert/bert-base-multilingual-cased'>google-bert/bert-base-multilingual-cased</a>,🔍,-@@100,177855747.0,119547.0,512.0,✓,✗,41.89 ± 1.50 / 47.23 ± 0.75@@41.887002787087766,89.32 ± 0.47 / 88.95 ± 0.35@@89.32107590013298,38.34 ± 12.84 / 67.51 ± 6.66@@38.34447425398369,66.42 ± 1.46 / 55.19 ± 1.66@@66.42429121630163,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/google-bert/bert-base-uncased'>google-bert/bert-base-uncased</a>,🔍,-@@100,109484547.0,30522.0,512.0,✓,✗,54.01 ± 1.49 / 54.63 ± 2.14@@54.008590299407686,87.62 ± 0.60 / 86.68 ± 0.57@@87.61619872119226,56.97 ± 2.20 / 77.43 ± 1.23@@56.97326229361561,53.78 ± 2.04 / 42.37 ± 2.12@@53.77990977731713,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/microsoft/mdeberta-v3-base'>microsoft/mdeberta-v3-base</a>,🔍,-@@100,278811651.0,251000.0,512.0,✓,✗,37.83 ± 12.73 / 44.13 ± 6.80@@37.831393791637105,85.56 ± 0.97 / 85.77 ± 0.90@@85.5601393168221,52.50 ± 2.07 / 75.61 ± 0.97@@52.5032052348679,44.47 ± 9.65 / 33.34 ± 7.77@@44.47123878933735,-@@-1,-0.05 ± 0.84 / 24.91 ± 0.65@@-0.04790671220914379,14.39 ± 8.56 / 35.81 ± 6.41@@14.387083796696137,15.0.0@@150000,15.0.0@@150000,15.0.0.dev0@@150000,15.0.0.dev0@@150000,-@@0,15.0.0.dev0@@150000,15.0.0.dev0@@150000
<a href='https://huggingface.co/microsoft/deberta-v3-large'>microsoft/deberta-v3-large</a>,🔍,-@@100,435064835.0,128100.0,512.0,✓,✗,64.04 ± 1.59 / 67.00 ± 1.56@@64.036103292181,91.88 ± 0.70 / 91.67 ± 0.56@@91.88248524293834,75.10 ± 1.18 / 87.34 ± 0.67@@75.10262736820822,85.54 ± 0.79 / 74.47 ± 1.03@@85.54397852352392,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/microsoft/deberta-v3-base'>microsoft/deberta-v3-base</a>,🔍,-@@100,184424451.0,128100.0,512.0,✓,✗,61.66 ± 0.85 / 60.80 ± 2.63@@61.6550909470192,91.57 ± 0.52 / 91.20 ± 0.41@@91.56673471906845,68.74 ± 1.72 / 83.85 ± 1.05@@68.74146312939077,80.29 ± 0.36 / 68.69 ± 0.56@@80.29340323282597,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/google-bert/bert-large-cased'>google-bert/bert-large-cased</a>,🔍,-@@100,333582339.0,28996.0,512.0,✓,✗,58.19 ± 1.32 / 58.14 ± 1.69@@58.19023738464505,89.84 ± 0.48 / 89.25 ± 0.46@@89.84093579230127,63.62 ± 1.90 / 80.92 ± 1.03@@63.62153836604046,67.33 ± 0.89 / 55.17 ± 0.92@@67.32670095143968,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/EuropeanParliament/EUBERT'>EuropeanParliament/EUBERT</a>,🔍,-@@100,93990500.0,65636.0,512.0,✓,✗,17.53 ± 2.21 / 38.67 ± 1.90@@17.531900310002506,71.43 ± 0.88 / 71.51 ± 0.79@@71.42590365595353,23.93 ± 5.87 / 59.48 ± 3.40@@23.926248279403698,42.98 ± 0.49 / 31.01 ± 0.89@@42.97559466160375,-@@-1,-@@-1,-@@-1,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,-@@0,-@@0,-@@0
<a href='https://huggingface.co/google-bert/bert-large-uncased'>google-bert/bert-large-uncased</a>,🔍,-@@100,335144963.0,30522.0,512.0,✓,✗,57.94 ± 1.17 / 58.50 ± 2.31@@57.93666924014743,88.80 ± 0.53 / 87.48 ± 0.71@@88.80462652769893,59.27 ± 2.55 / 79.17 ± 1.35@@59.2721036363961,63.79 ± 1.19 / 52.38 ± 0.93@@63.790550970029315,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/google/electra-large-discriminator'>google/electra-large-discriminator</a>,🔍,-@@100,335144963.0,30522.0,512.0,✓,✗,48.08 ± 14.91 / 53.81 ± 10.11@@48.07598149633399,67.87 ± 20.05 / 67.30 ± 19.58@@67.87408386607368,55.46 ± 13.66 / 75.80 ± 8.43@@55.45650507326202,81.84 ± 0.57 / 70.66 ± 0.80@@81.83841676089507,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/google/gemma-3-27b-it'>google/gemma-3-27b-it (zero-shot)</a>,📝,-@@100,27432406640.0,262144.0,,✓,✗,62.43 ± 0.72 / 65.81 ± 0.64@@62.43158207393622,62.83 ± 0.53 / 43.13 ± 0.53@@62.833900790606926,-@@-1,77.59 ± 0.41 / 55.48 ± 0.66@@77.58600237410947,66.80 ± 0.03 / 17.91 ± 0.06@@66.80246630683541,69.71 ± 0.71 / 77.29 ± 0.54@@69.71016629953961,66.72 ± 0.77 / 74.49 ± 0.59@@66.71727907693095,15.8.1.dev0@@150801,15.8.1.dev0@@150801,-@@0,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
<a href='https://huggingface.co/google/rembert'>google/rembert</a>,🔍,-@@100,575923843.0,250300.0,512.0,✓,✗,51.74 ± 10.59 / 58.97 ± 6.34@@51.736521701089465,90.17 ± 0.50 / 89.85 ± 0.49@@90.17248890066583,55.55 ± 1.66 / 77.55 ± 0.89@@55.55328685576596,81.57 ± 1.05 / 69.02 ± 1.23@@81.56982958235967,-@@-1,-@@-1,-@@-1,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,-@@0,-@@0,-@@0
"<a href='https://platform.openai.com/docs/models/gpt-4-turbo'>gpt-4-turbo-2024-04-09 (few-shot, val)</a>",📝,-@@100,,100256.0,128000.0,✓,✗,11.32 ± 3.91 / 24.19 ± 2.15@@11.31973093571635,82.27 ± 1.19 / 72.85 ± 2.42@@82.26504863457775,-3.89 ± 4.76 / 40.09 ± 1.96@@-3.8875399464221165,84.30 ± 0.72 / 66.59 ± 1.28@@84.29822872654626,-@@-1,-@@-1,-@@-1,12.10.0@@121000,12.10.0@@121000,12.10.0@@121000,12.10.0@@121000,-@@0,-@@0,-@@0
"<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (few-shot, val)</a>",📝,-@@100,,,1047576.0,✓,✗,67.74 ± 2.78 / 74.40 ± 2.00@@67.73775923609907,81.31 ± 2.04 / 75.26 ± 2.17@@81.30985932330071,42.33 ± 5.52 / 67.01 ± 3.32@@42.331523152690764,82.19 ± 0.78 / 60.49 ± 0.86@@82.18883684693019,68.56 ± 0.15 / 21.49 ± 0.29@@68.56094027170911,75.86 ± 1.90 / 81.95 ± 1.41@@75.85973865477985,-@@-1,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,-@@0
<a href='https://huggingface.co/AI-Sweden-Models/roberta-large-1160k'>AI-Sweden-Models/roberta-large-1160k</a>,🔍,-@@100,355362819.0,50265.0,512.0,✓,✗,53.90 ± 1.96 / 54.63 ± 2.32@@53.902077789698,89.53 ± 0.40 / 89.37 ± 0.30@@89.52763986477382,55.31 ± 2.36 / 76.38 ± 1.93@@55.30989203244877,80.82 ± 0.97 / 69.89 ± 0.99@@80.82214655346222,-@@-1,-@@-1,-@@-1,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,-@@0,-@@0,-@@0
<a href='https://huggingface.co/ibm-granite/granite-20b-code-instruct'>ibm-granite/granite-20b-code-instruct (few-shot)</a>,📝,-@@100,20066993152.0,49152.0,8192.0,✓,✗,50.37 ± 3.00 / 52.15 ± 2.83@@50.36655901323838,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.4.2.dev0@@150402,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/intfloat/multilingual-e5-large'>intfloat/multilingual-e5-large</a>,🔍,-@@100,559890946.0,250002.0,512.0,✓,✗,64.37 ± 1.28 / 65.16 ± 2.10@@64.36565158800236,91.69 ± 0.67 / 91.29 ± 0.54@@91.69459655386747,53.58 ± 10.20 / 74.70 ± 7.53@@53.58357589175811,73.00 ± 1.37 / 60.47 ± 1.61@@73.00328941867453,-@@-1,-@@-1,-@@-1,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,-@@0,-@@0,-@@0
<a href='https://huggingface.co/google/electra-base-discriminator'>google/electra-base-discriminator</a>,🔍,-@@100,109484547.0,30522.0,512.0,✓,✗,63.55 ± 1.20 / 60.22 ± 2.49@@63.54603516880783,89.83 ± 0.47 / 88.64 ± 0.50@@89.83415612601094,67.87 ± 1.58 / 83.57 ± 0.86@@67.87077104740591,69.68 ± 1.34 / 58.27 ± 1.71@@69.68109439452033,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/FacebookAI/roberta-base'>FacebookAI/roberta-base</a>,🔍,-@@100,124647939.0,50265.0,512.0,✓,✗,59.54 ± 1.98 / 59.76 ± 3.06@@59.54413828529817,91.00 ± 0.40 / 90.70 ± 0.31@@90.99748816166905,57.29 ± 2.88 / 77.93 ± 1.57@@57.2907642146914,73.75 ± 0.74 / 62.75 ± 0.77@@73.74949341209302,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0
fresh-xlm-roberta-base,🔍,-@@100,278045955.0,250002.0,512.0,✓,✗,4.00 ± 3.78 / 24.24 ± 3.94@@3.9966872729731158,34.64 ± 1.25 / 34.41 ± 1.49@@34.64105193343289,1.33 ± 1.00 / 42.07 ± 4.82@@1.3259997698891566,6.18 ± 1.24 / 0.43 ± 0.11@@6.184401783815669,-@@-1,-@@-1,-@@-1,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,-@@0,-@@0,-@@0
fresh-electra-small,🔍,-@@100,13549571.0,30522.0,512.0,✓,✗,0.58 ± 1.45 / 20.82 ± 1.74@@0.584481300206735,30.77 ± 0.92 / 30.14 ± 1.03@@30.768432956905222,-0.17 ± 0.47 / 37.18 ± 3.93@@-0.1685112455379959,6.16 ± 0.24 / 0.46 ± 0.14@@6.162738909935419,-@@-1,-@@-1,-@@-1,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,-@@0,-@@0,-@@0
<a href='https://huggingface.co/alexandrainst/munin-7b-8192-exp1'>alexandrainst/munin-7b-8192-exp1 (few-shot)</a>,🧠,-@@100,7241732096.0,32000.0,8192.0,✓,✗,66.04 ± 1.68 / 65.21 ± 1.48@@66.04253015320045,54.76 ± 3.16 / 51.55 ± 3.18@@54.76050015741517,22.15 ± 3.57 / 57.71 ± 4.24@@22.15012488968077,83.70 ± 0.93 / 71.32 ± 1.41@@83.70326603419146,68.13 ± 0.68 / 23.08 ± 0.59@@68.12938139672042,35.47 ± 1.23 / 50.47 ± 0.94@@35.467149310280114,-@@-1,12.5.0@@120500,12.5.0@@120500,12.5.0@@120500,12.5.0@@120500,12.5.0@@120500,12.5.0@@120500,-@@0
<a href='https://huggingface.co/answerdotai/ModernBERT-base'>answerdotai/ModernBERT-base</a>,🔍,-@@100,149655232.0,50368.0,8192.0,✓,✗,36.05 ± 3.63 / 49.67 ± 2.53@@36.047120042602465,71.65 ± 1.36 / 73.65 ± 1.02@@71.64971872119781,19.78 ± 6.07 / 58.87 ± 3.62@@19.779495922931766,38.14 ± 4.59 / 25.07 ± 4.34@@38.14412249665008,-@@-1,0.58 ± 1.43 / 25.47 ± 1.02@@0.5802599738651176,2.78 ± 1.82 / 27.08 ± 1.37@@2.777911977447445,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,-@@0,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/01-ai/Yi-34B-Chat'>01-ai/Yi-34B-Chat (few-shot)</a>,📝,-@@100,34388917248.0,64000.0,4096.0,✓,✗,68.76 ± 0.84 / 71.80 ± 1.06@@68.76392363079158,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,12.10.0@@121000,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/01-ai/Yi-34B'>01-ai/Yi-34B (few-shot)</a>,🧠,-@@100,34388917248.0,64000.0,4096.0,✓,✗,70.73 ± 0.87 / 61.09 ± 0.73@@70.73378401040331,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,12.10.0@@121000,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/answerdotai/ModernBERT-large'>answerdotai/ModernBERT-large</a>,🔍,-@@100,395881664.0,50368.0,8192.0,✓,✗,48.41 ± 4.09 / 57.44 ± 1.94@@48.41333425532478,78.96 ± 1.48 / 80.03 ± 1.33@@78.96229337963635,36.53 ± 7.20 / 67.83 ± 3.68@@36.5320048088987,66.99 ± 2.11 / 51.33 ± 2.31@@66.99349507163937,-@@-1,0.91 ± 1.00 / 25.63 ± 0.78@@0.9071282163511049,51.75 ± 11.58 / 63.80 ± 8.68@@51.753609572010895,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,-@@0,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/intfloat/multilingual-e5-base'>intfloat/multilingual-e5-base</a>,🔍,-@@100,278044162.0,250002.0,512.0,✓,✗,61.46 ± 0.89 / 60.48 ± 2.52@@61.464875300517576,89.65 ± 0.52 / 89.71 ± 0.48@@89.64600489962623,51.32 ± 1.98 / 74.21 ± 1.18@@51.3161930156682,63.05 ± 0.89 / 50.78 ± 1.14@@63.04873751030232,-@@-1,-@@-1,-@@-1,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,-@@0,-@@0,-@@0
<a href='https://huggingface.co/cardiffnlp/twitter-xlm-roberta-base'>cardiffnlp/twitter-xlm-roberta-base</a>,🔍,-@@100,278045955.0,250002.0,512.0,✓,✗,55.40 ± 0.56 / 52.86 ± 0.29@@55.39606782984655,87.09 ± 0.61 / 87.25 ± 0.49@@87.09249281265497,39.78 ± 3.59 / 67.21 ± 2.02@@39.78003573772943,13.47 ± 5.29 / 6.20 ± 4.26@@13.47132784609526,-@@-1,-@@-1,-@@-1,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,-@@0,-@@0,-@@0
<a href='https://huggingface.co/HPLT/gpt-13b-nordic-prerelease'>HPLT/gpt-13b-nordic-prerelease (few-shot)</a>,🧠,-@@100,14030361600.0,131072.0,4096.0,✓,✗,52.40 ± 8.29 / 49.39 ± 5.06@@52.40413133313797,48.70 ± 5.18 / 46.29 ± 4.05@@48.703769699230754,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,14.4.0@@140400,14.4.0@@140400,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/dbmdz/bert-base-historic-multilingual-cased'>dbmdz/bert-base-historic-multilingual-cased</a>,🔍,-@@100,111243522.0,32000.0,512.0,✓,✗,12.42 ± 9.17 / 33.80 ± 4.31@@12.422191896387039,77.64 ± 0.74 / 79.56 ± 0.53@@77.64142573413359,13.65 ± 6.22 / 53.84 ± 2.20@@13.649695322924124,45.71 ± 0.70 / 33.29 ± 0.96@@45.70904641838742,-@@-1,-@@-1,-@@-1,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,-@@0,-@@0,-@@0
<a href='https://huggingface.co/dbmdz/bert-tiny-historic-multilingual-cased'>dbmdz/bert-tiny-historic-multilingual-cased</a>,🔍,-@@100,4624642.0,32000.0,512.0,✓,✗,25.85 ± 2.01 / 40.72 ± 0.85@@25.852870278423996,65.85 ± 0.80 / 68.72 ± 0.81@@65.84587448005725,1.21 ± 1.72 / 50.03 ± 0.84@@1.2096154657532106,11.02 ± 0.40 / 4.00 ± 0.55@@11.019634190586626,-@@-1,-@@-1,-@@-1,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,-@@0,-@@0,-@@0
<a href='https://huggingface.co/Geotrend/distilbert-base-25lang-cased'>Geotrend/distilbert-base-25lang-cased</a>,🔍,-@@100,108867577.0,84985.0,512.0,✓,✗,36.77 ± 1.52 / 45.15 ± 0.60@@36.76830271850987,87.08 ± 0.62 / 87.08 ± 0.57@@87.08107703304842,37.10 ± 1.79 / 67.20 ± 1.15@@37.09944275106337,37.98 ± 0.63 / 26.99 ± 0.77@@37.982885438325056,-@@-1,-@@-1,-@@-1,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,-@@0,-@@0,-@@0
<a href='https://huggingface.co/model-garden-lms/bert-base-finewebs-951k'>model-garden-lms/bert-base-finewebs-951k</a>,🔍,-@@100,135849472.0,64000.0,512.0,✓,✗,57.50 ± 1.50 / 58.79 ± 1.57@@57.499453024770375,88.31 ± 0.91 / 87.73 ± 0.87@@88.31098878325328,40.02 ± 6.98 / 67.76 ± 3.79@@40.020280497567946,58.37 ± 1.75 / 47.03 ± 1.32@@58.37451891691438,-@@-1,-@@-1,-@@-1,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,-@@0,-@@0,-@@0
<a href='https://huggingface.co/FacebookAI/xlm-roberta-large'>FacebookAI/xlm-roberta-large</a>,🔍,-@@100,559893507.0,250002.0,512.0,✓,✗,41.97 ± 17.48 / 50.33 ± 9.16@@41.97365383289178,89.81 ± 0.60 / 89.25 ± 0.72@@89.81026161180932,35.55 ± 18.61 / 63.79 ± 12.17@@35.55068406447225,79.18 ± 1.17 / 68.88 ± 1.40@@79.17509694586208,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0
