model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,dbrd,conll_nl,scala_nl,squad_nl,wiki_lingua_nl,mmlu_nl,hellaswag_nl,dbrd_version,conll_nl_version,scala_nl_version,squad_nl_version,wiki_lingua_nl_version,mmlu_nl_version,hellaswag_nl_version
<a href='https://huggingface.co/allenai/OLMo-1B'>allenai/OLMo-1B (few-shot)</a>,🧠,-@@100,1176764416.0,50280.0,2304.0,✓,✗,-@@-1,22.58 ± 5.05 / 26.82 ± 3.69@@22.57939407140745,-1.27 ± 1.85 / 41.38 ± 3.59@@-1.2667596275128412,11.74 ± 1.62 / 6.64 ± 1.96@@11.741320555531638,43.43 ± 0.37 / 7.83 ± 0.14@@43.42598834329692,-0.56 ± 1.27 / 24.38 ± 0.98@@-0.5597785037648748,0.29 ± 1.06 / 25.10 ± 0.83@@0.2851232694873615,-@@0,12.5.2@@120502,12.1.0@@120100,12.1.0@@120100,12.1.0@@120100,12.1.0@@120100,12.1.0@@120100
<a href='https://huggingface.co/EuropeanParliament/EUBERT'>EuropeanParliament/EUBERT</a>,🔍,-@@100,93990500.0,65636.0,512.0,✓,✗,30.03 ± 2.63 / 64.74 ± 1.39@@30.03113358725413,49.54 ± 1.42 / 50.44 ± 1.10@@49.5380395837206,27.90 ± 5.58 / 62.47 ± 3.34@@27.896630589477788,26.24 ± 2.62 / 16.71 ± 1.98@@26.236621224632785,-@@-1,-@@-1,-@@-1,15.7.1.dev0@@150701,<9.2.0@@0,<9.2.0@@0,14.2.0.dev0@@140200,-@@0,-@@0,-@@0
<a href='https://huggingface.co/FacebookAI/xlm-roberta-large'>FacebookAI/xlm-roberta-large</a>,🔍,-@@100,561192082.0,250002.0,512.0,✓,✗,67.46 ± 22.06 / 80.41 ± 15.28@@67.4563195357648,83.49 ± 1.51 / 86.12 ± 1.21@@83.488916414247,64.80 ± 8.79 / 80.93 ± 6.29@@64.79904146199848,63.00 ± 1.69 / 48.43 ± 2.00@@63.003206200125405,-@@-1,-@@-1,-@@-1,15.7.1.dev0@@150701,<9.2.0@@0,<9.2.0@@0,14.2.0.dev0@@140200,-@@0,-@@0,-@@0
<a href='https://huggingface.co/Geotrend/distilbert-base-25lang-cased'>Geotrend/distilbert-base-25lang-cased</a>,🔍,-@@100,108867577.0,84985.0,512.0,✓,✗,29.48 ± 10.56 / 62.68 ± 7.32@@29.48347320439222,75.02 ± 1.48 / 81.57 ± 0.76@@75.02061639361717,45.28 ± 0.55 / 71.89 ± 0.59@@45.283935396588035,18.98 ± 1.62 / 11.11 ± 1.03@@18.977626021863724,-@@-1,-@@-1,-@@-1,15.7.1.dev0@@150701,<9.2.0@@0,<9.2.0@@0,14.2.0.dev0@@140200,-@@0,-@@0,-@@0
<a href='https://huggingface.co/HPLT/gpt-13b-nordic-prerelease'>HPLT/gpt-13b-nordic-prerelease (few-shot)</a>,🧠,-@@100,14030361600.0,131072.0,4096.0,✓,✗,70.17 ± 3.10 / 83.88 ± 2.36@@70.16960844095415,37.10 ± 2.32 / 31.74 ± 1.36@@37.103301604974035,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.7.0.dev0@@150700,14.4.0@@140400,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/tiiuae/Falcon3-10B-Instruct'>tiiuae/Falcon3-10B-Instruct (few-shot)</a>,📝,-@@100,10305653760.0,131072.0,32768.0,✓,✗,-@@-1,53.69 ± 1.61 / 40.99 ± 2.19@@53.69399224645852,23.48 ± 1.02 / 61.32 ± 0.51@@23.48320623341457,75.44 ± 0.67 / 60.76 ± 1.12@@75.44461678357513,67.93 ± 0.74 / 20.12 ± 0.89@@67.93030073822592,34.58 ± 0.67 / 50.84 ± 0.49@@34.58291917348729,29.07 ± 1.42 / 46.78 ± 1.06@@29.071086442502136,-@@0,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/tiiuae/Falcon3-10B-Base'>tiiuae/Falcon3-10B-Base (few-shot)</a>,🧠,-@@100,10305653760.0,131072.0,32768.0,✓,✗,-@@-1,55.80 ± 2.79 / 45.44 ± 1.93@@55.797453996794886,17.75 ± 2.09 / 56.68 ± 2.15@@17.754962723672268,74.66 ± 1.04 / 59.36 ± 1.29@@74.66131182459367,64.00 ± 1.26 / 17.52 ± 1.81@@64.00367446156451,31.56 ± 1.07 / 48.42 ± 0.81@@31.56103741031004,20.26 ± 1.14 / 39.14 ± 0.89@@20.2584159051734,-@@0,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/syvai/llama3-da-base'>syvai/llama3-da-base (few-shot)</a>,🧠,-@@100,8030261248.0,128256.0,8192.0,✓,✗,-@@-1,-@@-1,-@@-1,74.40 ± 1.93 / 59.89 ± 1.39@@74.39884909549832,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,14.3.0@@140300,-@@0,-@@0,-@@0
<a href='https://huggingface.co/Qwen/Qwen1.5-7B'>Qwen/Qwen1.5-7B (few-shot)</a>,📝,-@@100,7721324544.0,151936.0,32896.0,✓,✗,-@@-1,58.39 ± 1.28 / 44.45 ± 2.99@@58.39100521113064,35.21 ± 2.25 / 65.48 ± 2.51@@35.21023360196648,72.39 ± 0.66 / 60.71 ± 0.97@@72.38808452426528,64.01 ± 1.51 / 17.79 ± 0.86@@64.01193458666967,31.94 ± 0.60 / 48.68 ± 0.51@@31.944026774882083,-@@-1,-@@0,12.11.0@@121100,12.11.0@@121100,12.11.0@@121100,12.11.0@@121100,12.11.0@@121100,-@@0
<a href='https://huggingface.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B (few-shot)</a>,🤔,-@@100,14768307200.0,151936.0,40960.0,✓,✗,90.23 ± 0.72 / 95.08 ± 0.36@@90.2286293941211,57.78 ± 1.87 / 45.07 ± 1.96@@57.78019402896464,57.13 ± 1.01 / 76.89 ± 0.75@@57.12659597952674,77.71 ± 0.60 / 61.78 ± 0.75@@77.71225836193528,-@@-1,-@@-1,-@@-1,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,-@@0,-@@0,-@@0
<a href='https://huggingface.co/FacebookAI/xlm-mlm-17-1280'>FacebookAI/xlm-mlm-17-1280</a>,🔍,-@@100,571499522.0,200000.0,512.0,✓,✗,-@@-1,-@@-1,18.11 ± 13.08 / 57.70 ± 6.88@@18.113141386293222,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,<9.2.0@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://ollama.com/library/phi4:14b-q4_K_M'>ollama_chat/phi4:14b-q4_K_M (few-shot)</a>,📝,-@@100,14659507200.0,,16384.0,✓,✗,90.06 ± 0.68 / 95.01 ± 0.34@@90.06204473228789,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.7.0.dev0@@150700,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
"<a href='https://ollama.com/library/phi4:14b-q4_K_M'>ollama_chat/phi4:14b-q4_K_M (few-shot, val)</a>",📝,-@@100,14700000000.0,100352.0,16384.0,✓,✗,-@@-1,69.30 ± 3.27 / 59.47 ± 2.95@@69.29737028308818,56.70 ± 4.44 / 77.00 ± 2.75@@56.70429873965433,78.16 ± 1.67 / 53.80 ± 2.24@@78.16318057523105,64.28 ± 0.22 / 12.87 ± 0.27@@64.28296158090234,58.53 ± 2.79 / 68.98 ± 2.08@@58.5296016754023,62.59 ± 3.00 / 71.48 ± 2.37@@62.58565073226606,-@@0,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300
<a href='https://huggingface.co/allenai/OLMo-7B-Twin-2T'>allenai/OLMo-7B-Twin-2T (few-shot)</a>,🧠,-@@100,6888095744.0,50280.0,2304.0,✓,✗,-@@-1,18.70 ± 5.76 / 19.58 ± 4.59@@18.70288159407702,2.19 ± 2.08 / 45.43 ± 3.44@@2.190606686495216,48.44 ± 1.55 / 38.08 ± 1.07@@48.44058806019352,43.79 ± 0.51 / 7.59 ± 0.20@@43.79219139664201,0.65 ± 1.39 / 25.05 ± 1.02@@0.6475539528510236,-0.02 ± 0.92 / 24.75 ± 0.66@@-0.023238320536204463,-@@0,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502
"<a href='https://huggingface.co/mlabonne/AlphaMonarch-7B'>mlabonne/AlphaMonarch-7B (few-shot, val)</a>",📝,-@@100,7241732096.0,32000.0,8192.0,✗,✓,-@@-1,64.71 ± 5.15 / 53.58 ± 3.82@@64.70872890481495,25.22 ± 5.45 / 61.28 ± 2.51@@25.217341077793147,23.46 ± 1.65 / 1.74 ± 1.14@@23.45781746788295,67.71 ± 0.59 / 17.76 ± 0.71@@67.71215998800471,38.49 ± 2.59 / 53.52 ± 2.03@@38.487129903216044,47.66 ± 2.91 / 60.31 ± 2.30@@47.65829185054947,-@@0,12.5.2@@120502,12.5.2@@120502,14.3.0@@140300,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502
<a href='https://huggingface.co/google/canine-c'>google/canine-c</a>,🔍,-@@100,132084482.0,1114112.0,2048.0,✓,✗,-@@-1,44.90 ± 2.17 / 59.61 ± 1.48@@44.89649779092243,4.06 ± 5.02 / 49.57 ± 3.50@@4.059859553104035,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/AI-Sweden-Models/roberta-large-1160k'>AI-Sweden-Models/roberta-large-1160k</a>,🔍,-@@100,355412057.0,50265.0,512.0,✓,✗,27.51 ± 8.80 / 60.19 ± 7.56@@27.506275108834586,70.92 ± 1.61 / 78.52 ± 1.23@@70.91720757709776,2.06 ± 1.79 / 41.06 ± 5.11@@2.0598028257842587,50.31 ± 2.07 / 38.21 ± 1.91@@50.31150862335692,-@@-1,-@@-1,-@@-1,15.7.1.dev0@@150701,10.0.1@@100001,10.0.1@@100001,14.2.0.dev0@@140200,-@@0,-@@0,-@@0
<a href='https://huggingface.co/google/rembert'>google/rembert</a>,🔍,-@@100,574594434.0,250300.0,512.0,✓,✗,85.01 ± 0.90 / 92.43 ± 0.44@@85.00981776261186,75.49 ± 1.75 / 81.37 ± 1.31@@75.4919114503198,66.47 ± 2.04 / 83.16 ± 1.01@@66.47477023272549,66.03 ± 2.24 / 51.16 ± 2.46@@66.0346938793404,-@@-1,-@@-1,-@@-1,15.7.1.dev0@@150701,12.6.1@@120601,12.6.1@@120601,14.2.0.dev0@@140200,-@@0,-@@0,-@@0
"<a href='https://platform.openai.com/docs/models/gpt-3.5-turbo'>gpt-3.5-turbo-0613 (few-shot, val)</a>",📝,-@@100,,100256.0,4095.0,✓,✗,-@@-1,68.96 ± 3.80 / 58.45 ± 3.71@@68.96057516643064,58.95 ± 4.48 / 78.64 ± 2.32@@58.945568526792805,68.26 ± 1.85 / 55.57 ± 2.33@@68.25713018821233,69.13 ± 0.41 / 21.32 ± 0.75@@69.12998343119398,42.28 ± 2.88 / 56.45 ± 2.26@@42.28172845015723,61.52 ± 2.69 / 70.62 ± 2.20@@61.51957590724096,-@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
"<a href='https://platform.openai.com/docs/models/gpt-4'>gpt-4-0613 (few-shot, val)</a>",📝,-@@100,,100256.0,8444.0,✓,✗,-@@-1,73.35 ± 2.61 / 56.00 ± 2.82@@73.35324331324907,76.70 ± 2.39 / 88.16 ± 1.21@@76.7005718691664,79.91 ± 1.09 / 52.22 ± 2.14@@79.9087693813897,69.97 ± 0.41 / 22.66 ± 0.68@@69.96934830560349,70.71 ± 2.96 / 78.12 ± 2.24@@70.70684493869864,90.07 ± 1.29 / 92.54 ± 0.98@@90.06529869381765,-@@0,12.10.0@@121000,12.10.0@@121000,14.2.0.dev0@@140200,12.10.0@@121000,12.10.0@@121000,12.10.0@@121000
"<a href='https://platform.openai.com/docs/models/gpt-4'>gpt-4-0613 (zero-shot, val)</a>",📝,-@@100,,100256.0,8191.0,✓,✗,-@@-1,-@@-1,-@@-1,80.66 ± 0.64 / 53.03 ± 0.84@@80.65795890802032,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,14.2.0.dev0@@140200,-@@0,-@@0,-@@0
<a href='https://huggingface.co/intfloat/multilingual-e5-base'>intfloat/multilingual-e5-base</a>,🔍,-@@100,278044162.0,250002.0,512.0,✓,✗,77.03 ± 2.08 / 88.10 ± 1.28@@77.02613557998272,79.12 ± 1.90 / 83.05 ± 1.09@@79.1178728151545,39.28 ± 12.28 / 67.90 ± 5.94@@39.284059137251525,43.31 ± 1.68 / 31.18 ± 2.00@@43.310687894979296,-@@-1,-@@-1,-@@-1,15.7.1.dev0@@150701,<9.2.0@@0,<9.2.0@@0,14.2.0.dev0@@140200,-@@0,-@@0,-@@0
<a href='https://huggingface.co/mlabonne/AlphaMonarch-7B'>mlabonne/AlphaMonarch-7B (few-shot)</a>,📝,-@@100,7241732096.0,32000.0,4096.0,✗,✓,40.93 ± 9.65 / 62.77 ± 8.65@@40.932019780306845,-@@-1,-@@-1,22.69 ± 1.01 / 1.63 ± 0.83@@22.691598069659673,-@@-1,-@@-1,-@@-1,15.7.0.dev0@@150700,-@@0,-@@0,14.2.0.dev0@@140200,-@@0,-@@0,-@@0
<a href='https://huggingface.co/intfloat/multilingual-e5-large-instruct'>intfloat/multilingual-e5-large-instruct</a>,🔍,-@@100,559890432.0,250002.0,512.0,✓,✗,-@@-1,83.68 ± 1.57 / 87.38 ± 1.03@@83.68105977890386,51.80 ± 10.91 / 75.02 ± 5.60@@51.79952536079813,63.10 ± 1.75 / 46.84 ± 2.56@@63.10470826602699,-@@-1,-@@-1,-@@-1,-@@0,13.0.0@@130000,13.0.0@@130000,14.2.0.dev0@@140200,-@@0,-@@0,-@@0
<a href='https://huggingface.co/microsoft/xlm-align-base'>microsoft/xlm-align-base</a>,🔍,-@@100,277455362.0,250002.0,514.0,✓,✗,47.67 ± 23.79 / 68.95 ± 16.13@@47.666424026004826,78.85 ± 2.48 / 83.35 ± 2.28@@78.85042802670765,14.56 ± 8.02 / 53.64 ± 5.14@@14.557995898246482,49.25 ± 1.87 / 36.43 ± 1.70@@49.24515605322347,-@@-1,-@@-1,-@@-1,15.7.1.dev0@@150701,<9.2.0@@0,<9.2.0@@0,14.2.0.dev0@@140200,-@@0,-@@0,-@@0
<a href='https://huggingface.co/microsoft/phi-4'>microsoft/phi-4 (few-shot)</a>,📝,-@@100,14659507200.0,100352.0,16384.0,✓,✗,-@@-1,60.11 ± 1.32 / 44.02 ± 2.68@@60.11389352764627,53.82 ± 1.72 / 75.35 ± 1.31@@53.81672292378783,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,15.5.0@@150500,15.5.0@@150500,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/jhu-clsp/bernice'>jhu-clsp/bernice</a>,🔍,-@@100,278839328.0,250000.0,130.0,✓,✗,38.72 ± 10.59 / 69.21 ± 5.27@@38.721066131065555,78.74 ± 1.42 / 84.14 ± 0.87@@78.7383459512683,55.39 ± 2.71 / 76.38 ± 2.03@@55.390134883811704,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,-@@-1,-@@-1,-@@-1,15.7.1.dev0@@150701,<9.2.0@@0,<9.2.0@@0,14.2.0.dev0@@140200,-@@0,-@@0,-@@0
<a href='https://huggingface.co/microsoft/mdeberta-v3-base'>microsoft/mdeberta-v3-base</a>,🔍,-@@100,278220290.0,251000.0,512.0,✓,✗,61.52 ± 20.20 / 77.18 ± 14.36@@61.51617014048066,69.18 ± 3.10 / 76.37 ± 2.35@@69.17862315047728,61.34 ± 0.99 / 79.80 ± 0.57@@61.342988000934874,38.07 ± 5.68 / 27.12 ± 4.38@@38.069977584319204,-@@-1,-0.00 ± 1.44 / 24.98 ± 1.06@@-0.0028498463588903355,3.54 ± 2.54 / 27.65 ± 1.90@@3.540837726012232,15.7.1.dev0@@150701,15.0.0@@150000,15.0.0.dev0@@150000,15.0.0.dev0@@150000,-@@0,15.0.0.dev0@@150000,15.0.0.dev0@@150000
<a href='https://huggingface.co/microsoft/Phi-3-mini-4k-instruct'>microsoft/Phi-3-mini-4k-instruct (few-shot)</a>,📝,-@@100,3821079552.0,32064.0,4096.0,✓,✗,-@@-1,50.31 ± 1.94 / 41.54 ± 2.19@@50.308957050747274,14.72 ± 1.84 / 50.23 ± 3.10@@14.722279340697572,64.88 ± 0.87 / 45.99 ± 0.92@@64.88367453562111,64.40 ± 0.77 / 17.47 ± 0.56@@64.39917673051241,28.31 ± 0.70 / 46.18 ± 0.50@@28.312901805928455,21.25 ± 1.25 / 40.78 ± 1.02@@21.253237880629552,-@@0,12.10.5@@121005,12.10.5@@121005,14.2.0.dev0@@140200,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005
<a href='https://huggingface.co/jpostma/DagoBERT'>jpostma/DagoBERT</a>,🔍,-@@100,116173826.0,40000.0,512.0,✓,✗,27.99 ± 3.89 / 60.85 ± 4.03@@27.991902669194335,42.28 ± 1.41 / 47.68 ± 1.08@@42.27626170430011,31.21 ± 1.62 / 64.82 ± 0.69@@31.211019548757434,10.10 ± 0.24 / 2.50 ± 0.31@@10.102143552949318,-@@-1,-@@-1,-@@-1,15.7.1.dev0@@150701,<9.2.0@@0,<9.2.0@@0,14.2.0.dev0@@140200,-@@0,-@@0,-@@0
<a href='https://huggingface.co/mgoin/Nemotron-4-340B-Instruct-hf-FP8'>mgoin/Nemotron-4-340B-Instruct-hf-FP8 (few-shot)</a>,📝,-@@100,341029195776.0,256000.0,4096.0,✓,✗,-@@-1,47.60 ± 2.59 / 29.38 ± 1.71@@47.59998319433835,61.64 ± 9.03 / 78.16 ± 6.70@@61.639891339561025,42.51 ± 9.76 / 27.85 ± 6.27@@42.50929513802135,54.51 ± 2.27 / 8.49 ± 1.49@@54.51219186812523,50.32 ± 11.27 / 61.39 ± 9.56@@50.323872987670036,64.62 ± 6.94 / 71.43 ± 6.37@@64.62342649397654,-@@0,14.0.4@@140004,14.0.4@@140004,14.3.0@@140300,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
<a href='https://huggingface.co/meta-llama/Llama-3.1-405B-Instruct-FP8'>meta-llama/Llama-3.1-405B-Instruct-FP8 (few-shot)</a>,📝,-@@100,405868625920.0,128256.0,131072.0,✓,✗,-@@-1,69.12 ± 2.03 / 64.39 ± 2.33@@69.12053591896635,68.74 ± 0.69 / 83.97 ± 0.59@@68.7413463222585,77.66 ± 0.76 / 58.31 ± 1.33@@77.6644206284331,70.51 ± 1.10 / 24.87 ± 1.85@@70.50644283226575,74.89 ± 1.06 / 81.14 ± 0.79@@74.88950731648639,80.93 ± 1.07 / 85.65 ± 0.81@@80.93409122952485,-@@0,14.0.4@@140004,14.0.4@@140004,14.3.0@@140300,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
<a href='https://huggingface.co/intfloat/multilingual-e5-large'>intfloat/multilingual-e5-large</a>,🔍,-@@100,559890946.0,250002.0,512.0,✓,✗,84.87 ± 1.00 / 92.33 ± 0.52@@84.86645174362029,82.31 ± 2.14 / 86.91 ± 1.34@@82.30583069812143,58.51 ± 4.12 / 78.17 ± 2.32@@58.50576365503799,60.50 ± 2.05 / 45.25 ± 2.51@@60.49640047053729,-@@-1,-@@-1,-@@-1,15.7.1.dev0@@150701,<9.2.0@@0,<9.2.0@@0,14.2.0.dev0@@140200,-@@0,-@@0,-@@0
<a href='https://huggingface.co/01-ai/Yi-6B'>01-ai/Yi-6B (few-shot)</a>,🧠,-@@100,6061035520.0,64000.0,4096.0,✓,✗,-@@-1,46.34 ± 2.00 / 33.30 ± 1.78@@46.34439721585582,-@@-1,66.50 ± 0.94 / 55.33 ± 1.28@@66.49689893356432,58.35 ± 1.57 / 14.29 ± 0.85@@58.34542426215194,29.33 ± 0.91 / 46.94 ± 0.68@@29.33336000238478,20.27 ± 1.38 / 39.32 ± 1.12@@20.266152635232615,-@@0,9.3.2@@90302,-@@0,12.5.1@@120501,12.0.0@@120000,10.0.1@@100001,10.0.1@@100001
"<a href='https://huggingface.co/mlabonne/NeuralBeagle14-7B'>mlabonne/NeuralBeagle14-7B (few-shot, val)</a>",📝,-@@100,7241732096.0,32000.0,8192.0,✗,✓,-@@-1,63.53 ± 3.80 / 50.43 ± 2.90@@63.53120666595999,27.76 ± 4.44 / 62.44 ± 2.43@@27.759501630099248,24.97 ± 1.46 / 0.38 ± 0.33@@24.968860938438382,71.20 ± 0.46 / 23.47 ± 0.80@@71.19693293469027,40.23 ± 2.86 / 54.77 ± 2.16@@40.23409276830282,47.87 ± 2.49 / 60.78 ± 1.85@@47.871673683530915,-@@0,9.3.2@@90302,9.3.2@@90302,14.3.0@@140300,9.3.2@@90302,9.3.2@@90302,9.3.2@@90302
<a href='https://huggingface.co/BramVanroy/fietje-2b-chat'>BramVanroy/fietje-2b-chat (few-shot)</a>,📝,-@@100,2775059577.0,50297.0,2048.0,✗,✗,-@@-1,39.57 ± 2.74 / 31.81 ± 1.55@@39.56808504176218,9.31 ± 1.92 / 50.99 ± 2.59@@9.31497263880554,65.85 ± 1.68 / 53.33 ± 1.40@@65.85363736640905,65.37 ± 0.53 / 17.63 ± 0.74@@65.37387894939457,26.63 ± 1.33 / 44.86 ± 1.00@@26.62776847465874,11.62 ± 1.28 / 32.71 ± 1.00@@11.62065653079563,-@@0,12.6.1@@120601,12.6.1@@120601,14.2.0.dev0@@140200,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601
<a href='https://huggingface.co/allenai/OLMo-7B'>allenai/OLMo-7B (few-shot)</a>,🧠,-@@100,6888095744.0,50280.0,2304.0,✓,✗,-@@-1,37.37 ± 2.22 / 30.45 ± 2.45@@37.371323460608394,0.05 ± 1.35 / 35.78 ± 2.30@@0.04851094343761176,46.37 ± 1.51 / 34.81 ± 1.54@@46.37102994688945,45.22 ± 0.39 / 8.61 ± 0.17@@45.21965805470245,3.92 ± 1.04 / 27.22 ± 0.63@@3.9168082449617274,0.16 ± 0.55 / 25.29 ± 0.61@@0.1560962885078242,-@@0,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502
<a href='https://ollama.com/library/gemma3:27b-it-q4_K_M'>ollama_chat/gemma3:27b-it-q4_K_M (few-shot)</a>,📝,-@@100,27432062576.0,,131072.0,✓,✗,91.11 ± 1.28 / 95.50 ± 0.67@@91.11216612301271,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.7.0.dev0@@150700,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
"<a href='https://ollama.com/library/gemma3:27b-it-q4_K_M'>ollama_chat/gemma3:27b-it-q4_K_M (few-shot, val)</a>",📝,-@@100,27400000000.0,262144.0,128000.0,✓,✗,-@@-1,71.64 ± 3.38 / 66.35 ± 4.01@@71.63713438105145,52.05 ± 3.93 / 74.14 ± 2.13@@52.047394297188774,74.33 ± 1.71 / 53.61 ± 2.14@@74.32639724646448,65.68 ± 0.17 / 16.26 ± 0.41@@65.6797466124408,62.84 ± 2.32 / 72.15 ± 1.76@@62.83562688204371,68.35 ± 2.45 / 76.13 ± 1.78@@68.3462717609919,-@@0,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300
<a href='https://ollama.com/library/gemma3:27b-it-fp16'>ollama_chat/gemma3:27b-it-fp16 (few-shot)</a>,📝,-@@100,,,,✓,✗,-@@-1,65.77 ± 1.01 / 57.39 ± 2.59@@65.76827612190843,55.33 ± 1.32 / 76.79 ± 0.90@@55.32869429935074,73.41 ± 1.01 / 55.42 ± 0.89@@73.41196346144297,65.65 ± 0.18 / 16.72 ± 0.26@@65.65270976308966,62.77 ± 0.99 / 72.03 ± 0.72@@62.77317085219381,-@@-1,-@@0,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,-@@0
<a href='https://huggingface.co/answerdotai/ModernBERT-base'>answerdotai/ModernBERT-base</a>,🔍,-@@100,149655232.0,50368.0,8192.0,✓,✗,33.45 ± 5.35 / 65.26 ± 2.86@@33.45247800607724,37.22 ± 3.03 / 54.42 ± 2.30@@37.22286962515515,1.27 ± 1.29 / 50.31 ± 0.75@@1.2692233993649473,26.60 ± 1.24 / 13.85 ± 0.77@@26.604065772666093,-@@-1,-0.37 ± 1.35 / 24.72 ± 0.99@@-0.37477242618488954,1.17 ± 1.13 / 25.87 ± 0.84@@1.1668161687765317,15.7.1.dev0@@150701,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,-@@0,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://ollama.com/library/gemma3:12b-it-q4_K_M'>ollama_chat/gemma3:12b-it-q4_K_M (few-shot)</a>,📝,-@@100,12187079280.0,,131072.0,✓,✗,90.45 ± 0.64 / 95.18 ± 0.35@@90.44764822425468,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.7.0.dev0@@150700,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
"<a href='https://ollama.com/library/gemma3:12b-it-q4_K_M'>ollama_chat/gemma3:12b-it-q4_K_M (few-shot, val)</a>",📝,-@@100,12200000000.0,262144.0,128000.0,✓,✗,-@@-1,71.34 ± 2.67 / 51.98 ± 3.09@@71.33606501791716,46.38 ± 3.85 / 70.30 ± 2.56@@46.375380279368024,71.95 ± 2.05 / 51.66 ± 2.59@@71.9476835173471,65.41 ± 0.24 / 16.19 ± 0.44@@65.40717822848819,54.84 ± 2.80 / 66.13 ± 2.18@@54.8411670604657,64.36 ± 2.77 / 73.12 ± 2.15@@64.35965312993629,-@@0,15.2.0.dev0@@150200,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300
<a href='https://ollama.com/library/gemma3:12b-it-fp16'>ollama_chat/gemma3:12b-it-fp16 (few-shot)</a>,📝,-@@100,12187079280.0,,131072.0,✓,✗,90.39 ± 0.58 / 95.16 ± 0.32@@90.39362989799483,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.7.0.dev0@@150700,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/mlabonne/NeuralBeagle14-7B'>mlabonne/NeuralBeagle14-7B (few-shot)</a>,📝,-@@100,7241732096.0,32000.0,4096.0,✗,✓,53.47 ± 15.08 / 71.57 ± 12.01@@53.46955469572974,-@@-1,-@@-1,23.65 ± 1.33 / 0.73 ± 0.35@@23.6499378213487,-@@-1,-@@-1,-@@-1,15.7.0.dev0@@150700,-@@0,-@@0,14.2.0.dev0@@140200,-@@0,-@@0,-@@0
