model,generative_type,rank,french,italian,spanish,parameters,vocabulary_size,context,commercial,merge,allocine,eltec,scala_fr,fquad,sentipolc16,multinerd_it,scala_it,squad_it,sentiment_headlines_es,conll_es,scala_es,mlqa_es,allocine_version,eltec_version,scala_fr_version,fquad_version,sentipolc16_version,multinerd_it_version,scala_it_version,squad_it_version,sentiment_headlines_es_version,conll_es_version,scala_es_version,mlqa_es_version
<a href='https://huggingface.co/google/gemma-3-1b-it'>google/gemma-3-1b-it (few-shot)</a>,📝,2.98@@2.98,3.07@@3.07,3.08@@3.08,2.80@@2.80,999885952.0,262144.0,32768.0,✓,✗,86.17 ± 1.78 / 92.93 ± 1.05@@86.16548357664216,23.34 ± 1.84 / 22.36 ± 1.83@@23.34132397938871,11.80 ± 2.61 / 53.03 ± 2.79@@11.799771723646728,47.87 ± 1.07 / 23.93 ± 0.95@@47.874210551594395,39.82 ± 1.56 / 58.83 ± 1.10@@39.82451804552902,33.99 ± 2.34 / 31.69 ± 1.82@@33.99230522524847,8.54 ± 1.18 / 51.95 ± 1.72@@8.540309547402272,51.87 ± 1.19 / 35.69 ± 1.22@@51.87280534746228,34.59 ± 2.43 / 54.02 ± 2.29@@34.59442318278054,45.75 ± 1.67 / 42.76 ± 1.54@@45.75059587021569,5.75 ± 1.64 / 49.56 ± 2.46@@5.746496840948265,44.07 ± 0.75 / 17.22 ± 1.68@@44.07076084155422,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.6.1@@150601,15.5.0.dev0@@150500,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/google/gemma-2-2b'>google/gemma-2-2b (few-shot)</a>,🧠,2.99@@2.99,2.74@@2.74,3.20@@3.20,3.04@@3.04,2614341888.0,256000.0,8192.0,✓,✗,92.66 ± 0.98 / 96.29 ± 0.51@@92.66264666552433,33.88 ± 2.44 / 32.89 ± 2.33@@33.87520846822268,9.18 ± 1.88 / 51.34 ± 2.98@@9.180476614367743,59.57 ± 2.08 / 35.40 ± 1.47@@59.5656740158116,45.21 ± 2.62 / 57.73 ± 3.19@@45.205629730006876,13.48 ± 5.79 / 19.17 ± 4.02@@13.481005688278191,6.02 ± 1.47 / 45.69 ± 3.87@@6.0165920435802365,59.65 ± 1.77 / 43.77 ± 2.11@@59.64903149740123,27.69 ± 4.00 / 42.52 ± 4.56@@27.692024508899273,25.00 ± 4.09 / 25.12 ± 3.39@@25.004154037059923,5.04 ± 1.97 / 50.14 ± 1.96@@5.042859710652758,58.40 ± 4.12 / 35.31 ± 4.57@@58.39679932877461,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.8.1.dev0@@150801,15.8.2@@150802,15.8.1.dev0@@150801,15.8.2@@150802
<a href='https://huggingface.co/sentence-transformers/stsb-xlm-r-multilingual'>sentence-transformers/stsb-xlm-r-multilingual</a>,🔍,2.99@@2.99,3.18@@3.18,2.96@@2.96,2.84@@2.84,278044162.0,250002.0,512.0,✓,✗,75.41 ± 0.81 / 87.68 ± 0.41@@75.40519035909715,64.19 ± 1.73 / 64.01 ± 1.83@@64.18692167324375,1.83 ± 0.97 / 50.18 ± 0.95@@1.829527143273525,7.39 ± 0.42 / 1.73 ± 0.26@@7.392777388991843,49.33 ± 2.26 / 66.10 ± 1.49@@49.32642617206394,80.08 ± 1.23 / 70.49 ± 1.16@@80.08168000118516,2.91 ± 1.88 / 49.37 ± 2.12@@2.911366025299188,9.49 ± 0.36 / 4.82 ± 0.40@@9.485518169652007,40.93 ± 2.08 / 60.12 ± 1.53@@40.934205901908705,75.60 ± 0.60 / 77.04 ± 0.49@@75.59516653186124,-0.02 ± 1.29 / 49.03 ± 0.63@@-0.02196476845870647,12.59 ± 0.43 / 3.32 ± 0.43@@12.585773005892724,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/sentence-transformers/paraphrase-xlm-r-multilingual-v1'>sentence-transformers/paraphrase-xlm-r-multilingual-v1</a>,🔍,3.00@@3.00,3.14@@3.14,3.02@@3.02,2.83@@2.83,278044162.0,250002.0,512.0,✓,✗,77.01 ± 1.36 / 88.45 ± 0.68@@77.01297308262808,66.08 ± 1.43 / 65.96 ± 1.50@@66.08093056850943,1.27 ± 1.59 / 44.62 ± 3.28@@1.2693055066523633,6.02 ± 1.18 / 1.32 ± 0.29@@6.022021742493552,49.59 ± 2.25 / 66.22 ± 1.52@@49.5911294257178,81.12 ± 0.73 / 70.67 ± 1.02@@81.11925950122804,-0.27 ± 1.62 / 43.36 ± 3.71@@-0.2724891339859184,7.60 ± 1.70 / 3.30 ± 0.69@@7.596903159397345,38.92 ± 2.23 / 58.97 ± 1.68@@38.9231400483644,75.38 ± 0.81 / 77.34 ± 0.63@@75.37847026962496,1.82 ± 2.94 / 47.35 ± 3.45@@1.817075782515318,12.45 ± 0.65 / 2.62 ± 0.45@@12.44836110188916,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/meta-llama/Llama-3.2-1B-Instruct'>meta-llama/Llama-3.2-1B-Instruct (few-shot)</a>,📝,3.00@@3.00,2.92@@2.92,3.15@@3.15,2.94@@2.94,1235814400.0,128256.0,131072.0,✓,✗,81.92 ± 1.60 / 90.69 ± 0.99@@81.92389968691546,45.01 ± 1.36 / 33.37 ± 2.22@@45.00890903322726,3.12 ± 1.09 / 37.44 ± 3.06@@3.119438021725542,46.53 ± 2.29 / 26.05 ± 1.68@@46.53009720530393,36.68 ± 1.94 / 43.68 ± 1.23@@36.68277814823603,38.61 ± 2.74 / 27.14 ± 1.73@@38.60543724636577,4.48 ± 1.30 / 40.12 ± 3.70@@4.4811800776361075,49.85 ± 1.47 / 35.29 ± 1.26@@49.8493877172721,26.82 ± 2.82 / 38.37 ± 3.37@@26.816837387698655,50.46 ± 1.77 / 43.74 ± 2.04@@50.45792159322219,0.67 ± 0.94 / 33.44 ± 0.31@@0.6722386395294958,46.49 ± 0.87 / 24.84 ± 1.41@@46.48935416543624,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/cardiffnlp/twitter-xlm-roberta-base'>cardiffnlp/twitter-xlm-roberta-base</a>,🔍,3.03@@3.03,3.14@@3.14,2.98@@2.98,2.96@@2.96,277455362.0,250002.0,514.0,✓,✗,54.37 ± 17.69 / 73.56 ± 13.36@@54.37245333893376,66.19 ± 1.62 / 66.08 ± 1.52@@66.19245076862931,12.00 ± 7.44 / 49.77 ± 7.44@@12.001167474834004,8.11 ± 0.40 / 2.44 ± 0.37@@8.111597753889502,48.81 ± 3.29 / 65.42 ± 2.55@@48.80966375482145,83.20 ± 0.74 / 73.99 ± 0.52@@83.20451661924388,0.75 ± 2.63 / 39.22 ± 3.92@@0.7462320911360948,9.62 ± 0.46 / 4.44 ± 0.44@@9.624475038875172,22.07 ± 10.26 / 41.73 ± 10.52@@22.073677770787427,80.02 ± 0.77 / 80.89 ± 0.44@@80.0166179967386,3.82 ± 4.94 / 41.09 ± 6.48@@3.824532544134054,13.77 ± 0.48 / 3.91 ± 0.40@@13.767217426911438,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B (few-shot)</a>,🤔,3.05@@3.05,2.99@@2.99,3.31@@3.31,2.85@@2.85,751632384.0,151936.0,40960.0,✓,✗,76.18 ± 1.44 / 87.95 ± 0.75@@76.1836300504006,31.58 ± 1.32 / 26.57 ± 1.49@@31.57626247158537,10.13 ± 2.08 / 54.09 ± 1.18@@10.134555603261193,49.56 ± 0.95 / 26.57 ± 1.16@@49.5550012867875,33.42 ± 1.33 / 48.79 ± 1.37@@33.42141049873374,27.26 ± 1.50 / 22.21 ± 1.04@@27.26000388937772,4.46 ± 1.53 / 51.21 ± 0.82@@4.461504473307307,49.83 ± 1.02 / 35.12 ± 1.39@@49.833118426821954,32.76 ± 2.11 / 52.51 ± 1.92@@32.758686137518765,41.69 ± 0.78 / 36.42 ± 0.92@@41.68571823321717,6.49 ± 2.20 / 50.93 ± 1.10@@6.490795569815097,48.05 ± 0.94 / 29.17 ± 0.72@@48.04592561966106,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701
<a href='https://huggingface.co/ibm-granite/granite-3b-code-instruct-2k'>ibm-granite/granite-3b-code-instruct-2k (few-shot)</a>,📝,3.06@@3.06,3.41@@3.41,2.81@@2.81,2.98@@2.98,3482503680.0,49152.0,2048.0,✓,✗,0.00 ± 0.00 / 34.41 ± 0.31@@0.0,49.37 ± 2.79 / 48.55 ± 2.64@@49.37180134064775,5.09 ± 2.70 / 48.71 ± 2.76@@5.092479193265243,56.31 ± 0.97 / 32.85 ± 0.54@@56.309574642750704,34.92 ± 2.39 / 49.16 ± 3.02@@34.92297982069662,57.95 ± 2.53 / 49.44 ± 2.14@@57.953438960892626,6.84 ± 1.98 / 45.43 ± 3.25@@6.844048674298994,55.66 ± 0.63 / 38.54 ± 1.39@@55.663644409590155,18.38 ± 2.36 / 31.51 ± 3.27@@18.37687299779543,48.47 ± 1.66 / 45.91 ± 1.65@@48.47307253870873,1.47 ± 1.37 / 41.37 ± 2.68@@1.4723928102645838,57.68 ± 0.89 / 36.14 ± 1.27@@57.68260176332585,15.1.0@@150100,15.1.0@@150100,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.7.2.dev0@@150702,15.8.1.dev0@@150801,15.7.2.dev0@@150702,15.8.1.dev0@@150801,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/sentence-transformers/quora-distilbert-multilingual'>sentence-transformers/quora-distilbert-multilingual</a>,🔍,3.09@@3.09,3.25@@3.25,3.09@@3.09,2.93@@2.93,134734080.0,119547.0,512.0,✓,✗,70.12 ± 0.96 / 85.00 ± 0.47@@70.12019272243123,63.20 ± 1.66 / 63.20 ± 1.68@@63.20367828310055,-0.57 ± 1.36 / 44.78 ± 3.00@@-0.5727075064965975,7.17 ± 0.47 / 1.78 ± 0.21@@7.174966455328847,45.03 ± 1.10 / 63.07 ± 0.78@@45.02837191057278,79.52 ± 0.75 / 69.26 ± 0.50@@79.51854990591369,1.32 ± 1.72 / 45.35 ± 2.89@@1.320178949207163,8.56 ± 0.49 / 4.08 ± 0.30@@8.563234507303948,36.39 ± 4.07 / 56.99 ± 2.91@@36.387925193030476,74.09 ± 0.51 / 75.77 ± 0.72@@74.09173649922647,0.42 ± 1.49 / 44.59 ± 4.33@@0.4164991274374462,11.55 ± 0.43 / 2.22 ± 0.18@@11.54999194748167,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/sentence-transformers/distilbert-multilingual-nli-stsb-quora-ranking'>sentence-transformers/distilbert-multilingual-nli-stsb-quora-ranking</a>,🔍,3.09@@3.09,3.25@@3.25,3.09@@3.09,2.94@@2.94,134734080.0,119547.0,512.0,✓,✗,70.12 ± 0.96 / 85.00 ± 0.47@@70.12019272243123,63.19 ± 1.68 / 63.19 ± 1.70@@63.194054251621836,-0.57 ± 1.36 / 44.78 ± 3.00@@-0.5727075064965975,7.08 ± 0.52 / 1.76 ± 0.23@@7.082294313098122,45.03 ± 1.10 / 63.07 ± 0.78@@45.02837191057278,79.57 ± 0.72 / 69.30 ± 0.49@@79.5741510312882,1.23 ± 1.70 / 45.33 ± 2.94@@1.2299819849086242,8.56 ± 0.46 / 4.09 ± 0.34@@8.561113389832041,36.39 ± 4.07 / 56.99 ± 2.91@@36.387925193030476,73.91 ± 0.48 / 75.64 ± 0.74@@73.90519186090762,0.42 ± 1.49 / 44.59 ± 4.33@@0.4193067372000154,11.55 ± 0.45 / 2.23 ± 0.19@@11.547556933225632,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/OpenLLM-France/Lucie-7B'>OpenLLM-France/Lucie-7B (few-shot)</a>,📝,3.12@@3.12,3.10@@3.10,3.30@@3.30,2.96@@2.96,6706960384.0,65024.0,32000.0,✓,✗,92.08 ± 1.06 / 95.93 ± 0.57@@92.08343704297157,33.49 ± 1.79 / 32.90 ± 1.94@@33.493901244639524,5.68 ± 1.20 / 41.54 ± 2.91@@5.683264881676484,33.69 ± 1.48 / 0.12 ± 0.03@@33.694693153167634,46.33 ± 3.04 / 61.95 ± 3.13@@46.32816265088124,35.66 ± 2.03 / 34.60 ± 1.72@@35.65714317387314,4.58 ± 1.16 / 38.49 ± 2.97@@4.578640775178659,25.04 ± 1.00 / 0.08 ± 0.05@@25.039544237756935,41.13 ± 1.89 / 58.13 ± 2.02@@41.13471810275387,41.80 ± 1.43 / 39.60 ± 1.37@@41.8009967212363,2.69 ± 3.17 / 42.23 ± 4.80@@2.6909016254344915,31.53 ± 1.47 / 0.33 ± 0.31@@31.52839820010319,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.8.0@@150800,15.8.0@@150800,15.8.0@@150800,15.8.0@@150800
<a href='https://huggingface.co/LumiOpen/Viking-13B'>LumiOpen/Viking-13B (few-shot)</a>,🧠,3.15@@3.15,3.06@@3.06,3.41@@3.41,2.98@@2.98,14030361600.0,131072.0,4096.0,✓,✗,82.50 ± 1.79 / 90.62 ± 1.09@@82.4984178936538,31.99 ± 3.92 / 28.10 ± 3.12@@31.98816304200832,4.89 ± 1.17 / 49.15 ± 1.13@@4.885375761600559,46.04 ± 2.19 / 27.99 ± 1.24@@46.040975975285605,31.81 ± 4.37 / 42.00 ± 5.34@@31.805795945017877,28.35 ± 7.18 / 26.71 ± 4.26@@28.348142231322864,2.50 ± 1.49 / 36.52 ± 1.66@@2.4953174821336184,44.64 ± 2.19 / 33.44 ± 1.39@@44.63696813122887,28.31 ± 1.76 / 39.78 ± 0.79@@28.308042267323124,44.28 ± 3.36 / 41.23 ± 2.84@@44.27697761245564,0.57 ± 1.25 / 39.80 ± 3.70@@0.5732591052231986,47.69 ± 2.62 / 28.80 ± 2.39@@47.68541581786737,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/openGPT-X/Teuken-7B-instruct-commercial-v0.4'>openGPT-X/Teuken-7B-instruct-commercial-v0.4 (few-shot)</a>,📝,3.16@@3.16,2.98@@2.98,3.36@@3.36,3.13@@3.13,7452725248.0,250680.0,4096.0,✓,✗,79.50 ± 4.50 / 88.53 ± 2.83@@79.49628839873792,36.71 ± 1.46 / 25.25 ± 1.87@@36.711617659845,0.22 ± 0.43 / 33.37 ± 0.27@@0.21930477306603716,55.78 ± 3.04 / 31.24 ± 2.60@@55.7770158744522,15.07 ± 2.37 / 30.63 ± 2.50@@15.067044670390914,45.86 ± 2.22 / 33.38 ± 1.89@@45.85925086070034,0.91 ± 1.41 / 37.66 ± 1.04@@0.9078914049594304,54.56 ± 3.82 / 38.49 ± 3.80@@54.56148607746767,20.54 ± 2.40 / 33.57 ± 2.52@@20.53511631951767,39.49 ± 1.61 / 31.79 ± 1.86@@39.49234494904744,0.00 ± 0.00 / 33.36 ± 0.27@@0.0,54.25 ± 1.20 / 32.29 ± 1.77@@54.25269462174803,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/ibm-granite/granite-3.0-1b-a400m-instruct'>ibm-granite/granite-3.0-1b-a400m-instruct (few-shot)</a>,📝,3.18@@3.18,3.19@@3.19,3.35@@3.35,3.01@@3.01,1334628352.0,49155.0,4096.0,✓,✗,69.26 ± 9.14 / 81.66 ± 6.66@@69.25586761341987,32.46 ± 1.20 / 20.51 ± 0.77@@32.45557221318262,1.95 ± 1.31 / 42.02 ± 3.73@@1.9532215269108624,48.49 ± 1.40 / 27.95 ± 1.06@@48.487168815407166,34.15 ± 2.02 / 53.98 ± 1.97@@34.1451523938525,32.47 ± 2.06 / 25.53 ± 1.47@@32.46589846230981,1.32 ± 1.36 / 40.06 ± 3.20@@1.3198439598278027,48.99 ± 0.84 / 34.53 ± 1.44@@48.99011157515685,27.37 ± 2.84 / 44.60 ± 3.83@@27.369583557338096,38.66 ± 1.58 / 31.27 ± 1.16@@38.66390573830487,3.03 ± 1.35 / 46.08 ± 2.43@@3.027275974418258,46.39 ± 0.81 / 27.64 ± 0.58@@46.38604478019841,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/google/gemma-3-1b-pt'>google/gemma-3-1b-pt (few-shot)</a>,🧠,3.18@@3.18,3.12@@3.12,3.36@@3.36,3.05@@3.05,999885952.0,262144.0,32768.0,✓,✗,91.40 ± 0.92 / 95.66 ± 0.49@@91.40252486377216,29.63 ± 2.24 / 29.69 ± 2.26@@29.631695467241077,-0.50 ± 1.56 / 43.68 ± 3.15@@-0.4956901678032236,45.66 ± 2.87 / 27.19 ± 1.21@@45.662806478390614,40.85 ± 2.83 / 54.31 ± 3.98@@40.85022657957832,28.29 ± 5.05 / 25.99 ± 5.23@@28.288625696642296,0.88 ± 1.64 / 37.52 ± 1.87@@0.8820863137991279,44.51 ± 2.93 / 31.40 ± 4.00@@44.50811903063273,32.73 ± 2.30 / 51.21 ± 2.55@@32.73085483659809,38.76 ± 5.11 / 36.88 ± 5.07@@38.75648219174088,-0.77 ± 1.67 / 44.32 ± 3.10@@-0.771605146706809,46.07 ± 2.79 / 25.45 ± 3.07@@46.0711016713773,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-1.7B-Instruct'>HuggingFaceTB/SmolLM2-1.7B-Instruct (few-shot)</a>,📝,3.19@@3.19,3.04@@3.04,3.32@@3.32,3.23@@3.23,1711376384.0,49152.0,8192.0,✓,✗,85.81 ± 0.85 / 92.80 ± 0.47@@85.80555242432291,26.15 ± 5.81 / 23.15 ± 3.17@@26.14778290742622,4.73 ± 2.37 / 34.98 ± 1.95@@4.734291672146653,52.23 ± 1.40 / 26.85 ± 0.80@@52.2321923053543,28.10 ± 3.52 / 39.18 ± 5.39@@28.104255085998474,28.36 ± 5.16 / 27.77 ± 2.91@@28.35879301089562,9.31 ± 1.73 / 50.27 ± 2.73@@9.313460658235488,48.14 ± 0.77 / 31.05 ± 1.40@@48.13798095446212,21.49 ± 2.04 / 34.92 ± 3.23@@21.489334984225472,32.98 ± 6.56 / 31.62 ± 3.42@@32.9801202177498,2.54 ± 0.72 / 38.36 ± 2.29@@2.5420362438942607,50.44 ± 1.41 / 25.98 ± 2.54@@50.43644042865107,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/dbmdz/bert-base-historic-multilingual-cased'>dbmdz/bert-base-historic-multilingual-cased</a>,🔍,3.21@@3.21,2.85@@2.85,3.22@@3.22,3.57@@3.57,111243522.0,32000.0,512.0,✓,✗,59.18 ± 12.34 / 77.74 ± 9.57@@59.18467778118342,70.31 ± 0.91 / 69.89 ± 0.82@@70.3086035929153,6.40 ± 5.47 / 50.99 ± 3.33@@6.402077731115565,30.47 ± 1.34 / 14.39 ± 1.07@@30.47294264181387,28.24 ± 1.71 / 49.99 ± 1.90@@28.242581384707645,73.94 ± 0.93 / 64.57 ± 0.52@@73.93530431991407,0.08 ± 1.62 / 45.56 ± 2.65@@0.07859926280782248,24.73 ± 1.45 / 15.35 ± 1.24@@24.733887713275198,1.22 ± 4.08 / 26.71 ± 3.96@@1.2206679820864672,70.98 ± 0.92 / 73.62 ± 1.05@@70.97557149151491,-0.58 ± 1.78 / 43.40 ± 4.19@@-0.580214072400169,9.71 ± 4.93 / 3.85 ± 2.03@@9.714784011617233,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/google/gemma-2b'>google/gemma-2b (few-shot)</a>,🧠,3.23@@3.23,3.14@@3.14,3.33@@3.33,3.21@@3.21,2506172416.0,256000.0,8192.0,✓,✗,89.15 ± 1.69 / 94.37 ± 0.94@@89.14904731779431,19.45 ± 3.91 / 19.16 ± 3.94@@19.453503161917006,-0.83 ± 1.50 / 35.32 ± 2.02@@-0.8305948035292632,57.85 ± 2.53 / 35.20 ± 1.26@@57.849493710035105,47.86 ± 2.18 / 64.23 ± 1.75@@47.85656713851093,9.92 ± 5.10 / 15.13 ± 4.90@@9.923604941949677,0.97 ± 1.62 / 36.93 ± 2.21@@0.9698301277041479,54.50 ± 1.67 / 40.25 ± 1.47@@54.49978230077848,32.19 ± 2.26 / 50.31 ± 3.12@@32.19185956366143,13.84 ± 5.42 / 12.96 ± 4.92@@13.836503082599705,1.71 ± 1.29 / 35.47 ± 1.33@@1.7075618038366873,53.45 ± 2.62 / 32.12 ± 3.22@@53.44723927058057,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/meta-llama/Llama-3.2-1B'>meta-llama/Llama-3.2-1B (few-shot)</a>,🧠,3.23@@3.23,3.04@@3.04,3.55@@3.55,3.10@@3.10,1235814400.0,128256.0,131072.0,✓,✗,91.12 ± 0.79 / 95.52 ± 0.42@@91.12484439261104,30.94 ± 1.93 / 30.00 ± 1.55@@30.93968148641611,2.13 ± 1.75 / 47.90 ± 2.72@@2.1262016122097114,47.81 ± 3.15 / 28.32 ± 1.94@@47.807584273324636,39.62 ± 3.51 / 56.28 ± 3.52@@39.62351066753238,13.18 ± 7.21 / 15.93 ± 6.38@@13.176498534552378,0.63 ± 2.00 / 44.12 ± 3.25@@0.6334844256921696,45.14 ± 3.41 / 31.68 ± 3.75@@45.141808968596465,29.87 ± 3.29 / 45.04 ± 5.11@@29.873183357422832,30.76 ± 5.63 / 29.90 ± 5.02@@30.761699172833858,0.88 ± 0.85 / 36.25 ± 3.71@@0.8756156573883928,47.08 ± 4.66 / 26.49 ± 4.71@@47.08230578259311,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2'>sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2</a>,🔍,3.24@@3.24,3.33@@3.33,3.30@@3.30,3.07@@3.07,117654272.0,250037.0,512.0,✓,✗,71.47 ± 1.50 / 85.68 ± 0.77@@71.46995202431192,55.17 ± 1.93 / 55.13 ± 1.98@@55.16786021833464,-0.08 ± 1.14 / 48.10 ± 1.15@@-0.08014348411226674,8.08 ± 0.24 / 1.40 ± 0.25@@8.083913370223616,41.90 ± 10.08 / 60.80 ± 7.32@@41.89504846806377,62.62 ± 2.80 / 59.05 ± 2.26@@62.62469393582399,0.69 ± 1.20 / 47.43 ± 1.90@@0.6947569741118034,8.64 ± 0.23 / 2.94 ± 0.37@@8.637262757960526,33.83 ± 4.62 / 54.75 ± 3.25@@33.8281214069679,64.48 ± 1.55 / 67.27 ± 1.55@@64.48140502964932,0.29 ± 1.14 / 49.18 ± 0.60@@0.29390056947239074,12.70 ± 0.30 / 1.88 ± 0.23@@12.698120533140965,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
